ID,Condition,Trial ,justice,age,participantgender,gender,race,year
11,4,2,10,20,1,1,1,2
11,4,3,10,20,1,1,1,2
11,4,4,10,20,1,1,1,2
11,4,5,10,20,1,1,1,2
11,4,6,10,20,1,1,1,2
11,4,7,10,20,1,1,1,2
11,4,8,9,20,1,1,1,2
11,4,9,9,20,1,1,1,2
11,4,10,9,20,1,1,1,2
11,4,11,8,20,1,1,1,2
11,4,12,9,20,1,1,1,2
11,4,13,8,20,1,1,1,2
11,4,14,7,20,1,1,1,2
11,4,15,6,20,1,1,1,2
11,4,16,6,20,1,1,1,2
11,4,17,4,20,1,1,1,2
11,4,18,7,20,1,1,1,2
11,4,19,6,20,1,1,1,2
12,1,1,2,20,1,1,1,3
12,1,2,1,20,1,1,1,3
12,1,3,10,20,1,1,1,3
12,1,4,6,20,1,1,1,3
12,1,5,3,20,1,1,1,3
12,1,6,7,20,1,1,1,3
12,1,7,10,20,1,1,1,3
12,1,8,10,20,1,1,1,3
12,1,9,10,20,1,1,1,3
12,1,10,10,20,1,1,1,3
12,1,11,10,20,1,1,1,3
12,1,12,10,20,1,1,1,3
12,1,13,10,20,1,1,1,3
12,1,14,9,20,1,1,1,3
12,1,15,9,20,1,1,1,3
12,1,16,10,20,1,1,1,3
12,1,17,10,20,1,1,1,3
12,1,18,10,20,1,1,1,3
12,1,19,7,20,1,1,1,3
13,1,1,3,22,1,1,2,4
13,1,2,1,22,1,1,2,4
13,1,3,4,22,1,1,2,4
13,1,4,3,22,1,1,2,4
13,1,5,1,22,1,1,2,4
13,1,6,8,22,1,1,2,4
13,1,7,10,22,1,1,2,4
13,1,8,10,22,1,1,2,4
13,1,9,10,22,1,1,2,4
13,1,10,8,22,1,1,2,4
13,1,11,10,22,1,1,2,4
13,1,12,10,22,1,1,2,4
13,1,13,9,22,1,1,2,4
13,1,14,9,22,1,1,2,4
13,1,15,10,22,1,1,2,4
13,1,16,10,22,1,1,2,4
13,1,17,10,22,1,1,2,4
13,1,18,9,22,1,1,2,4
13,1,19,7,22,1,1,2,4
14,1,1,4,18,1,1,2,1
14,1,2,3,18,1,1,2,1
14,1,3,8,18,1,1,2,1
14,1,4,10,18,1,1,2,1
14,1,5,5,18,1,1,2,1
14,1,6,5,18,1,1,2,1
14,1,7,5,18,1,1,2,1
14,1,8,5,18,1,1,2,1
14,1,9,5,18,1,1,2,1
14,1,10,5,18,1,1,2,1
14,1,11,5,18,1,1,2,1
14,1,12,5,18,1,1,2,1
14,1,13,5,18,1,1,2,1
14,1,14,5,18,1,1,2,1
14,1,15,5,18,1,1,2,1
14,1,16,6,18,1,1,2,1
14,1,17,8,18,1,1,2,1
14,1,18,5,18,1,1,2,1
14,1,19,5,18,1,1,2,1
15,3,1,9,21,1,1,1,3
15,3,2,10,21,1,1,1,3
15,3,3,9,21,1,1,1,3
15,3,4,9,21,1,1,1,3
15,3,5,9,21,1,1,1,3
15,3,6,9,21,1,1,1,3
15,3,7,7,21,1,1,1,3
15,3,8,3,21,1,1,1,3
15,3,9,6,21,1,1,1,3
15,3,10,6,21,1,1,1,3
15,3,11,2,21,1,1,1,3
15,3,12,6,21,1,1,1,3
15,3,13,10,21,1,1,1,3
15,3,14,10,21,1,1,1,3
15,3,15,10,21,1,1,1,3
15,3,16,10,21,1,1,1,3
15,3,17,10,21,1,1,1,3
15,3,18,9,21,1,1,1,3
15,3,19,8,21,1,1,1,3
16,4,1,10,19,1,1,1,2
16,4,2,10,19,1,1,1,2
16,4,3,10,19,1,1,1,2
16,4,4,8,19,1,1,1,2
16,4,5,8,19,1,1,1,2
16,4,6,10,19,1,1,1,2
16,4,7,10,19,1,1,1,2
16,4,8,10,19,1,1,1,2
16,4,9,10,19,1,1,1,2
16,4,10,10,19,1,1,1,2
16,4,11,10,19,1,1,1,2
16,4,12,10,19,1,1,1,2
16,4,13,7,19,1,1,1,2
16,4,14,3,19,1,1,1,2
